game_id,half,game_time_sec,label_text,localpath,num_players,num_boxes,norm_mean_area,ball_visible,highlight
0,1,271,Ball out of play,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,11,13,0.003954752637553419,1,0
0,1,790,Goal,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,14,17,0.0023701526132443728,1,1
0,1,1057,Clearance,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,13,15,0.001999668891460906,0,0
0,1,1440,Shots off target,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,15,19,0.0017932404133162779,1,0
0,1,1516,Ball out of play,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,14,17,0.003112901325344954,1,0
0,1,1730,Foul,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,15,18,0.00263198122160065,1,0
0,1,2021,Corner,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,14,16,0.002246456241560569,1,1
0,1,2157,Ball out of play,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,17,21,0.0025037580972589652,1,0
0,1,2400,Foul,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,11,13,0.002241023099922839,1,0
0,2,2906,Foul,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,16,20,0.0025352738884066367,1,0
0,2,2996,Shots on target,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,16,20,0.0029603006751543217,1,0
0,2,2997,Ball out of play,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,16,20,0.0027878390649112633,1,0
0,2,3153,Ball out of play,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,15,17,0.002620111102600762,1,0
0,2,3259,Shots on target,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,9,10,0.003002099961419752,1,0
0,2,3450,Ball out of play,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,15,17,0.002412908337872186,1,0
0,2,3542,Clearance,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,0,7,0.17796784583057762,0,0
0,2,3588,Throw-in,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,14,17,0.0013511996669616933,0,0
0,2,4544,Shots off target,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,12,16,0.003044728832103589,1,0
0,2,4677,Shots off target,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,15,18,0.002018340537658607,1,0
0,2,4778,Ball out of play,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,10,13,0.002971223772851378,1,0
0,2,4821,Goal,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,17,20,0.0021626031346450624,1,1
0,2,4952,Throw-in,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,5,7,0.058166331983024684,0,0
0,2,5301,Shots off target,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,13,16,0.0022465906575520824,1,0
1,1,167,Offside,england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal,12,14,0.004056066576760911,1,0
1,1,224,Foul,england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal,13,14,0.0026870945560515864,1,0
1,1,379,Foul,england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal,16,19,0.0040420357844481,1,0
1,1,426,Goal,england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal,12,16,0.004464155287000867,1,1
1,1,613,Foul,england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal,8,11,0.002671611929845328,1,0
1,1,1109,Foul,england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal,10,12,0.004998583939163772,1,0
1,1,1177,Throw-in,england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal,14,17,0.004253589435253268,0,0
1,1,1247,Shots off target,england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal,14,17,0.0049695546109068634,1,0
1,1,1301,Foul,england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal,15,18,0.0027187815875771596,1,0
1,1,1323,Foul,england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal,13,15,0.00334198939525463,1,0
1,1,1528,Foul,england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal,10,12,0.0025443830837673623,1,0
1,1,1659,Foul,england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal,13,18,0.002471171736352237,1,0
1,1,1801,Foul,england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal,6,7,0.07678187087673613,1,0
1,1,1910,Ball out of play,england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal,11,13,0.00424587045105502,1,0
1,1,2146,Foul,england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal,3,4,0.10084505664062499,1,0
